City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Te Kauwhata,NZ,2022-01-04 21:35:28,-37.4,175.15,78.75,23,14,2.53
131,Thinadhoo,MV,2022-01-04 21:35:29,0.5333,72.9333,80.58,74,100,3.24
132,Tondano,ID,2022-01-04 21:35:29,1.3038,124.9112,66.29,90,100,1.5
133,Naze,JP,2022-01-04 21:35:30,28.3667,129.4833,55.51,67,49,4.41
134,San Patricio,US,2022-01-04 21:35:31,28.017,-97.5169,75.29,48,6,11.14
135,Zhezkazgan,KZ,2022-01-04 21:35:31,47.8043,67.7144,10.38,85,75,4.47
136,Kabanjahe,ID,2022-01-04 21:35:31,3.1001,98.4908,59.76,96,84,1.48
137,Taoudenni,ML,2022-01-04 21:35:32,22.6783,-3.9836,65.57,22,0,9.91
138,Avarua,CK,2022-01-04 21:31:08,-21.2078,-159.775,82.45,78,20,19.57
139,Roma,US,2022-01-04 21:32:03,43.2128,-75.4557,34.84,76,20,5.75
140,Bereda,ES,2022-01-04 21:35:32,43.2686,-7.5406,49.01,100,70,1.88
141,Sipkovica,MK,2022-01-04 21:35:33,42.035,20.9156,41.76,63,7,3.98
142,Constitucion,CL,2022-01-04 21:35:33,-35.3333,-72.4167,65.01,66,4,17.76
143,Beloha,MG,2022-01-04 21:35:33,-25.1667,45.05,73.36,86,53,15.14
144,Astana,KZ,2022-01-04 21:35:34,51.1801,71.446,-0.45,85,20,11.18
145,Corner Brook,CA,2022-01-04 21:35:34,48.9667,-57.9484,14.22,87,99,11.01
146,Grand Gaube,MU,2022-01-04 21:35:34,-20.0064,57.6608,79.2,77,26,5.01
147,Khasan,RU,2022-01-04 21:35:35,42.4308,130.6434,9.97,67,0,9.35
148,Son La,VN,2022-01-04 21:35:35,21.3167,103.9,53.53,97,3,1.61
149,Puerto Escondido,MX,2022-01-04 21:35:35,15.85,-97.0667,85.03,61,1,0.0
150,Hithadhoo,MV,2022-01-04 21:33:45,-0.6,73.0833,81.99,71,96,3.47
151,Iqaluit,CA,2022-01-04 21:35:36,63.7506,-68.5145,2.93,78,90,16.11
152,Miramar,US,2022-01-04 21:31:41,25.9873,-80.2323,77.02,62,75,9.22
153,Ngemplak,ID,2022-01-04 21:35:36,-7.5497,110.7164,75.04,88,100,4.99
154,Arica,CL,2022-01-04 21:35:36,-18.475,-70.3042,78.35,60,0,13.8
